"species"	"site"	"season"	"count"
"2"	"146"	"1"	"0"
"3"	"146"	"1"	"0"
"1"	"147"	"1"	"0"
"2"	"147"	"1"	"0"
"3"	"147"	"1"	"0"
"1"	"148"	"1"	"1"
"2"	"148"	"1"	"0"
"3"	"148"	"1"	"1"
"1"	"149"	"1"	"1"
"2"	"149"	"1"	"0"
"3"	"149"	"1"	"1"
"1"	"150"	"1"	"1"
"2"	"150"	"1"	"0"
"3"	"150"	"1"	"1"
"1"	"151"	"1"	"1"
"2"	"151"	"1"	"1"
"3"	"151"	"1"	"1"
"1"	"152"	"1"	"0"
"2"	"152"	"1"	"0"
"3"	"152"	"1"	"0"
"1"	"153"	"1"	"1"
"2"	"153"	"1"	"0"
"3"	"153"	"1"	"1"
"1"	"154"	"1"	"0"
"2"	"154"	"1"	"0"
"3"	"154"	"1"	"0"
"1"	"155"	"1"	"0"
"2"	"155"	"1"	"0"
"3"	"155"	"1"	"0"
"1"	"156"	"1"	"1"
"2"	"156"	"1"	"0"
"3"	"156"	"1"	"1"
"1"	"157"	"1"	"1"
"2"	"157"	"1"	"0"
"3"	"157"	"1"	"1"
"1"	"158"	"1"	"1"
"2"	"158"	"1"	"0"
"3"	"158"	"1"	"1"
"1"	"159"	"1"	"1"
"2"	"159"	"1"	"0"
"3"	"159"	"1"	"1"
"1"	"160"	"1"	"1"
"2"	"160"	"1"	"0"
"3"	"160"	"1"	"1"
"1"	"161"	"1"	"0"
"2"	"161"	"1"	"1"
"3"	"161"	"1"	"0"
"1"	"162"	"1"	"1"
"2"	"162"	"1"	"0"
"3"	"162"	"1"	"1"
"1"	"163"	"1"	"1"
"2"	"163"	"1"	"0"
"3"	"163"	"1"	"1"
"1"	"164"	"1"	"0"
"2"	"164"	"1"	"0"
"3"	"164"	"1"	"0"
"1"	"165"	"1"	"0"
"2"	"165"	"1"	"0"
"3"	"165"	"1"	"0"
"1"	"166"	"1"	"0"
"2"	"166"	"1"	"0"
"3"	"166"	"1"	"0"
"1"	"167"	"1"	"1"
"2"	"167"	"1"	"0"
"3"	"167"	"1"	"1"
"1"	"168"	"1"	"1"
"2"	"168"	"1"	"0"
"3"	"168"	"1"	"1"
"1"	"169"	"1"	"0"
"2"	"169"	"1"	"0"
"3"	"169"	"1"	"0"
"1"	"170"	"1"	"0"
"2"	"170"	"1"	"0"
"3"	"170"	"1"	"0"
"1"	"171"	"1"	"1"
"2"	"171"	"1"	"0"
"3"	"171"	"1"	"1"
"1"	"172"	"1"	"1"
"2"	"172"	"1"	"1"
"3"	"172"	"1"	"1"
"1"	"173"	"1"	"1"
"2"	"173"	"1"	"0"
"3"	"173"	"1"	"1"
"1"	"174"	"1"	"0"
"2"	"174"	"1"	"0"
"3"	"174"	"1"	"0"
"1"	"175"	"1"	"0"
"2"	"175"	"1"	"1"
"3"	"175"	"1"	"0"
"1"	"176"	"1"	"1"
"2"	"176"	"1"	"1"
"3"	"176"	"1"	"1"
"1"	"177"	"1"	"0"
"2"	"177"	"1"	"0"
"3"	"177"	"1"	"0"
"1"	"178"	"1"	"1"
"2"	"178"	"1"	"0"
"3"	"178"	"1"	"1"
"1"	"180"	"1"	"1"
"2"	"180"	"1"	"1"
"3"	"180"	"1"	"1"
"1"	"181"	"1"	"0"
"2"	"181"	"1"	"0"
"3"	"181"	"1"	"0"
"1"	"182"	"1"	"0"
"2"	"182"	"1"	"0"
"3"	"182"	"1"	"0"
"1"	"183"	"1"	"1"
"2"	"183"	"1"	"0"
"3"	"183"	"1"	"1"
"1"	"184"	"1"	"1"
"2"	"184"	"1"	"0"
"3"	"184"	"1"	"1"
"1"	"185"	"1"	"1"
"2"	"185"	"1"	"0"
"3"	"185"	"1"	"1"
"1"	"186"	"1"	"0"
"2"	"186"	"1"	"0"
"3"	"186"	"1"	"0"
"1"	"187"	"1"	"1"
"2"	"187"	"1"	"0"
"3"	"187"	"1"	"1"
"1"	"188"	"1"	"1"
"2"	"188"	"1"	"0"
"3"	"188"	"1"	"1"
"1"	"189"	"1"	"0"
"2"	"189"	"1"	"0"
"3"	"189"	"1"	"0"
"1"	"190"	"1"	"1"
"2"	"190"	"1"	"0"
"3"	"190"	"1"	"1"
"1"	"191"	"1"	"0"
"2"	"191"	"1"	"0"
"3"	"191"	"1"	"0"
"1"	"192"	"1"	"1"
"2"	"192"	"1"	"0"
"3"	"192"	"1"	"1"
